stage,variant,method,method_key,beta_cost,beta_label,cost_type,d_warning,seed,step,scenario,base_scenario,episodes,success_rate,collision_rate,near_miss_rate,mean_min_distance,mean_time,mean_episode_reward,reaction_time_eval_style,reaction_time_nan_style,nan_reaction_rate,distance_warning_cost_nonzero_rate,distance_warning_cost_mean,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_sum_p95,risk_max_mean,scenario_valid_rate,planned_threat_valid_rate,threat_valid_rate,realized_near_miss_rate,source_csv,checkpoint_path
P0.5,default,attention_full_distance_penalty_wide_d2_beta10,wide_d2_beta10,10.0,10.0,distance_warning,2.0,0,250000,eval_accel_decel,eval_accel_decel,50,1.0,0.0,0.0,2.7404629230499267,9.304,22.205900403366932,,,1.0,0.14,0.0007287778893078142,0.003967468980699774,0.2471089982282706,5.447989853764828e-05,2.8354441038456027e-06,5.4479898537594716e-05,1.0,1.0,1.0,0.0,results/pre_ppo_priority/p0_5_beta_sweep/eval/wide_d2_beta10_s0_step250000_accel.csv,checkpoints/pre_ppo_priority/p0_5_beta_sweep/wide_d2_beta10_s0_step250000.zip
P0.5,default,attention_full_distance_penalty_wide_d2_beta10,wide_d2_beta10,10.0,10.0,distance_warning,2.0,0,250000,eval_ar1,eval_ar1,50,1.0,0.0,0.0,2.677310810089111,9.248000000000001,22.207713087671927,,,1.0,0.14,0.0011607801797799701,0.00872790407389402,0.2596501674804727,0.00041739026685902106,0.0021838959378694166,0.00041739026685902106,1.0,1.0,1.0,0.02,results/pre_ppo_priority/p0_5_beta_sweep/eval/wide_d2_beta10_s0_step250000_ar1.csv,checkpoints/pre_ppo_priority/p0_5_beta_sweep/wide_d2_beta10_s0_step250000.zip
P0.5,default,attention_full_distance_penalty_wide_d2_beta10,wide_d2_beta10,10.0,10.0,distance_warning,2.0,0,250000,eval_mixed_v2,eval_mixed_v2,50,1.0,0.0,0.0,3.2765703916549684,9.576,22.200719905934974,0.20000000000000007,0.20000000000000007,0.0,0.14,0.002456954954250244,0.019469377435743805,0.7471259971826072,0.0003687393027621753,0.00106372994080182,0.0003687393027621753,1.0,1.0,1.0,0.04,results/pre_ppo_priority/p0_5_beta_sweep/eval/wide_d2_beta10_s0_step250000_mixed_v2.csv,checkpoints/pre_ppo_priority/p0_5_beta_sweep/wide_d2_beta10_s0_step250000.zip
P0.5,default,attention_full_distance_penalty_wide_d2_beta10,wide_d2_beta10,10.0,10.0,distance_warning,2.0,0,250000,eval_random_switch,eval_random_switch,50,1.0,0.0,0.0,2.915804648399353,9.684,22.315910863945806,,,1.0,0.06,0.000656066848314364,0.006935016889765393,0.4563139871734734,5.968237399601207e-05,3.0131651625568625e-05,5.9682373971664077e-05,1.0,1.0,1.0,0.02,results/pre_ppo_priority/p0_5_beta_sweep/eval/wide_d2_beta10_s0_step250000_random.csv,checkpoints/pre_ppo_priority/p0_5_beta_sweep/wide_d2_beta10_s0_step250000.zip
P0.5,default,attention_full_distance_penalty_wide_d2_beta10,wide_d2_beta10,10.0,10.0,distance_warning,2.0,0,250000,eval_random_switch_hard,eval_random_switch_hard,50,0.88,0.12,0.12,1.7920039957761764,10.991999999999997,19.217789704440406,,,1.0,0.58,0.022019984407997954,0.13016090129211078,3.1109804356050432,0.013722293138568658,0.092114212070502,0.011624904033316927,1.0,1.0,1.0,0.28,results/pre_ppo_priority/p0_5_beta_sweep/eval/wide_d2_beta10_s0_step250000_hard.csv,checkpoints/pre_ppo_priority/p0_5_beta_sweep/wide_d2_beta10_s0_step250000.zip
P0.5,default,attention_full_distance_penalty_wide_d2_beta10,wide_d2_beta10,10.0,10.0,distance_warning,2.0,0,250000,eval_sinusoidal,eval_sinusoidal,50,1.0,0.0,0.02,2.671047867536545,9.283999999999999,22.210745637549316,,,1.0,0.16,0.0022536901105195207,0.01672480816021561,1.0873147610614389,0.0009141525598035282,0.00696763338129525,0.0009141525598035282,1.0,1.0,1.0,0.02,results/pre_ppo_priority/p0_5_beta_sweep/eval/wide_d2_beta10_s0_step250000_sinusoidal.csv,checkpoints/pre_ppo_priority/p0_5_beta_sweep/wide_d2_beta10_s0_step250000.zip
P0.5,default,attention_full_distance_penalty_wide_d2_beta10,wide_d2_beta10,10.0,10.0,distance_warning,2.0,0,250000,eval_sudden_turn,eval_sudden_turn,50,1.0,0.0,0.0,2.6569810366630553,9.62,22.161961356080937,0.20000000000000007,0.20000000000000007,0.0,0.14,0.0009484972618520175,0.0060793270915746635,0.273786303964485,9.38168301543909e-05,3.5115943909843935e-05,9.381682978514287e-05,1.0,1.0,1.0,0.02,results/pre_ppo_priority/p0_5_beta_sweep/eval/wide_d2_beta10_s0_step250000_sudden.csv,checkpoints/pre_ppo_priority/p0_5_beta_sweep/wide_d2_beta10_s0_step250000.zip
P0.5,default,attention_full_distance_penalty_wide_d2_beta10,wide_d2_beta10,10.0,10.0,distance_warning,2.0,0,250000,eval_threat_validated_sudden,eval_threat_validated_sudden,50,1.0,0.0,0.0,3.4970988178253175,9.887999999999998,22.18680656949649,0.20000000000000007,0.20000000000000007,0.0,0.0,0.0,0.0,0.0,4.166194568092235e-05,0.0002543312950005813,4.166194568092057e-05,1.0,1.0,1.0,0.0,results/pre_ppo_priority/p0_5_beta_sweep/eval/wide_d2_beta10_s0_step250000_threat_sudden.csv,checkpoints/pre_ppo_priority/p0_5_beta_sweep/wide_d2_beta10_s0_step250000.zip
P0.5,default,attention_full_distance_penalty_wide_d2_beta10,wide_d2_beta10,10.0,10.0,distance_warning,2.0,0,500000,eval_accel_decel,eval_accel_decel,50,1.0,0.0,0.0,2.5608834648132324,9.36,22.104676173413033,,,1.0,0.14,0.00040220155031419594,0.000818039402947758,0.1721934067434318,2.32940407080143e-05,3.072724159921251e-06,2.32940407080143e-05,1.0,1.0,1.0,0.0,results/pre_ppo_priority/p0_5_beta_sweep/eval/wide_d2_beta10_s0_step500000_accel.csv,checkpoints/pre_ppo_priority/p0_5_beta_sweep/wide_d2_beta10_s0_step500000.zip
P0.5,default,attention_full_distance_penalty_wide_d2_beta10,wide_d2_beta10,10.0,10.0,distance_warning,2.0,0,500000,eval_ar1,eval_ar1,50,1.0,0.0,0.0,2.5192567920684814,9.348,22.13622192031286,,,1.0,0.12,0.0005169579508947141,0.002121880457270886,0.1822230757543508,2.3606635527718024e-05,1.6755704787930722e-06,2.3606635527595624e-05,1.0,1.0,1.0,0.0,results/pre_ppo_priority/p0_5_beta_sweep/eval/wide_d2_beta10_s0_step500000_ar1.csv,checkpoints/pre_ppo_priority/p0_5_beta_sweep/wide_d2_beta10_s0_step500000.zip
