stage,variant,method,method_key,beta_cost,beta_label,cost_type,d_warning,seed,step,scenario,base_scenario,episodes,success_rate,collision_rate,near_miss_rate,mean_min_distance,mean_time,mean_episode_reward,reaction_time_eval_style,reaction_time_nan_style,nan_reaction_rate,distance_warning_cost_nonzero_rate,distance_warning_cost_mean,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_sum_p95,risk_max_mean,scenario_valid_rate,planned_threat_valid_rate,threat_valid_rate,realized_near_miss_rate,source_csv,checkpoint_path
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,250000,eval_accel_decel_high_speed,eval_accel_decel,50,1.0,0.0,0.02,2.0098842656612397,8.728,22.23573703204499,,,1.0,0.44,0.007465545321028892,0.05975081483440589,1.2436199530707237,0.0018162327091724984,0.0029646408226069476,0.001816232080193089,1.0,1.0,1.0,0.14,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step250000_accel.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step250000.zip
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,250000,eval_ar1_high_speed,eval_ar1,50,0.98,0.02,0.04,1.9897853970527648,8.584,21.642373962445355,,,1.0,0.52,0.013251453016746365,0.08811019453976769,2.9939680309235115,0.00646569828042263,0.022758162073648364,0.0064656982683028216,1.0,1.0,1.0,0.18,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step250000_ar1.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step250000.zip
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,250000,eval_mixed_v2_high_speed,eval_mixed_v2,50,1.0,0.0,0.0,3.2039005541801453,9.091999999999999,22.237918796185898,0.20000000000000007,0.20000000000000007,0.0,0.06,0.001051001740852368,0.00695489078760147,0.4938816442268603,0.0008175800094246837,0.005402870652562806,0.0008175800094246727,1.0,1.0,1.0,0.04,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step250000_mixed_v2.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step250000.zip
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,250000,eval_random_switch_high_speed,eval_random_switch,50,1.0,0.0,0.04,2.254421672821045,9.212,22.291491551622663,,,1.0,0.32,0.0077101408384259995,0.06075239742407575,1.7155787698336589,0.01624568001065694,0.0832720441371288,0.016036878247485318,1.0,1.0,1.0,0.12,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step250000_random.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step250000.zip
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,250000,eval_random_switch_hard_high_speed,eval_random_switch_hard,50,0.92,0.08,0.34,1.2025224030017854,8.88,19.86493164004519,,,1.0,0.94,0.1407104965627877,0.5558127961341779,2.6686733887459377,0.10724583310468003,0.36129364790656837,0.09917614235790094,1.0,1.0,1.0,0.78,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step250000_hard.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step250000.zip
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,250000,eval_sinusoidal_high_speed,eval_sinusoidal,50,1.0,0.0,0.04,2.025967524051666,8.648000000000001,22.233861894624432,,,1.0,0.44,0.009212259521882493,0.06879781496245413,1.3488421151208885,0.0039120251516574,0.022838742767433858,0.003911966418401062,1.0,1.0,1.0,0.12,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step250000_sinusoidal.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step250000.zip
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,250000,eval_sudden_turn_high_speed,eval_sudden_turn,50,1.0,0.0,0.06,1.8416680896282196,9.124,22.202577101684113,0.20000000000000007,0.20000000000000007,0.0,0.58,0.013817747970169846,0.09443941926700061,1.5780799602746356,0.02210604181236699,0.12137551863736004,0.021479232723213445,1.0,1.0,1.0,0.22,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step250000_sudden.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step250000.zip
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,250000,eval_threat_validated_sudden_high_speed,eval_threat_validated_sudden,50,1.0,0.0,0.0,2.9429527568817138,9.372,22.20298308941949,0.20000000000000007,0.20000000000000007,0.0,0.14,0.000775679042562836,0.0014598149247467482,0.6363012123125031,0.008642364932576191,0.04940231095616276,0.008438122333969955,1.0,1.0,1.0,0.04,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step250000_threat_sudden.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step250000.zip
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,500000,eval_accel_decel_high_speed,eval_accel_decel,50,1.0,0.0,0.02,2.160413063764572,9.44,22.122497420515266,,,1.0,0.26,0.003964886740104694,0.03366398228914476,1.0468625667454354,0.0009437389272107062,0.004787402414767201,0.0009437389163462159,1.0,1.0,1.0,0.1,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step500000_accel.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step500000.zip
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,500000,eval_ar1_high_speed,eval_ar1,50,1.0,0.0,0.02,2.1682140922546385,9.488000000000001,22.140882801003567,,,1.0,0.3,0.003948079338018702,0.0318435967573896,1.0459890740751234,0.0013127060385953447,0.004289727582688009,0.0013127060362386575,1.0,1.0,1.0,0.12,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step500000_ar1.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step500000.zip
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,500000,eval_mixed_v2_high_speed,eval_mixed_v2,50,1.0,0.0,0.0,2.9465011048316954,9.047999999999998,22.160060484505426,0.20000000000000007,0.20000000000000007,0.0,0.1,0.0013971298684555186,0.011003382400376717,0.6241315830411622,0.0006719061300121736,0.0025546469604285998,0.0006719061209126408,1.0,1.0,1.0,0.02,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step500000_mixed_v2.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step500000.zip
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,500000,eval_random_switch_high_speed,eval_random_switch,50,0.98,0.02,0.06,2.176777275800705,9.82,21.6463247674789,,,1.0,0.34,0.010427542578690907,0.07167494801525663,2.1727832954053703,0.025286172044894098,0.13929019136336046,0.023952467375255023,1.0,1.0,1.0,0.14,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step500000_random.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step500000.zip
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,500000,eval_random_switch_hard_high_speed,eval_random_switch_hard,50,0.96,0.04,0.22,1.3689090341329575,10.052,20.711887651912512,,,1.0,0.92,0.08698945208909205,0.38240645292586123,3.019739513816192,0.09235215432359833,0.3330355646274984,0.08735576704028059,1.0,1.0,1.0,0.68,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step500000_hard.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step500000.zip
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,500000,eval_sinusoidal_high_speed,eval_sinusoidal,50,1.0,0.0,0.02,2.2055953943729403,9.472,22.115950569092682,,,1.0,0.24,0.004929655979649386,0.03756793742999434,1.3762898798753476,0.0015927137346864544,0.014747194031011839,0.0015927134933765733,1.0,1.0,1.0,0.1,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step500000_sinusoidal.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step500000.zip
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,500000,eval_sudden_turn_high_speed,eval_sudden_turn,50,0.98,0.02,0.06,1.8875768715143204,9.783999999999999,21.640544068317805,0.20000000000000007,0.20000000000000007,0.0,0.54,0.01422960718599396,0.10201021310386864,2.3952367870985194,0.027967256221054365,0.15780428726866375,0.02622065268740694,1.0,1.0,1.0,0.28,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step500000_sudden.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step500000.zip
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,500000,eval_threat_validated_sudden_high_speed,eval_threat_validated_sudden,50,1.0,0.0,0.04,2.6508718049526214,9.184,22.1329075266293,0.20000000000000007,0.20000000000000007,0.0,0.22,0.003842482919757221,0.024283570366096675,1.1971639764514954,0.02045061145999723,0.10934547749690723,0.02041196097768756,1.0,1.0,1.0,0.06,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step500000_threat_sudden.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step500000.zip
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,750000,eval_accel_decel_high_speed,eval_accel_decel,50,1.0,0.0,0.02,1.9921414530277253,8.796,22.166261573334975,,,1.0,0.44,0.004399013080608097,0.03534588678274303,1.018768655716432,0.0009201364190949731,0.003906587162379029,0.0009201363889058064,1.0,1.0,1.0,0.1,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step750000_accel.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step750000.zip
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,750000,eval_ar1_high_speed,eval_ar1,50,1.0,0.0,0.02,1.9873065555095673,8.82,22.10781959537409,,,1.0,0.44,0.004224493371366393,0.033274687460507255,1.025991635864191,0.0012859641477525876,0.005144287823431177,0.001285964136207676,1.0,1.0,1.0,0.1,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step750000_ar1.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step750000.zip
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,750000,eval_mixed_v2_high_speed,eval_mixed_v2,50,1.0,0.0,0.02,2.4832920467853548,8.340000000000002,22.179424816222486,0.2280000000000001,0.2280000000000001,0.0,0.24,0.00415989153596455,0.02804359553832909,1.4496798614706885,0.002248265576294384,0.014810712179873953,0.002248259028285041,1.0,1.0,1.0,0.06,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step750000_mixed_v2.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step750000.zip
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,750000,eval_random_switch_high_speed,eval_random_switch,50,1.0,0.0,0.06,2.0457296884059906,9.595999999999998,22.218852468206105,,,1.0,0.42,0.009267418692804756,0.05740076134679837,1.9629313358237253,0.02643948279371109,0.13961816258233167,0.02534683102335197,1.0,1.0,1.0,0.18,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step750000_random.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step750000.zip
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,750000,eval_random_switch_hard_high_speed,eval_random_switch_hard,50,0.94,0.06,0.24,1.2883068162202835,10.495999999999999,20.202911920205008,,,1.0,0.94,0.08263827369693896,0.4166983916144818,2.455167718094864,0.0749647211063711,0.3145243348722579,0.06782255990532572,1.0,1.0,1.0,0.68,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step750000_hard.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step750000.zip
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,750000,eval_sinusoidal_high_speed,eval_sinusoidal,50,1.0,0.0,0.02,2.0336182475090028,8.851999999999999,22.126701833356293,,,1.0,0.38,0.004828286184847438,0.036957330859513596,1.3027052002280612,0.0018901934635870965,0.015819936409460902,0.001890188161237496,1.0,1.0,1.0,0.1,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step750000_sinusoidal.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step750000.zip
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,750000,eval_sudden_turn_high_speed,eval_sudden_turn,50,1.0,0.0,0.04,1.7902193415164946,9.512,22.082115564416313,0.20000000000000007,0.20000000000000007,0.0,0.58,0.01254188734794295,0.08485676685057113,2.0958686664150186,0.021858940634410788,0.12515733205655122,0.021467598762537784,1.0,1.0,1.0,0.24,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step750000_sudden.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step750000.zip
P0,high_speed,attention_full_distance_penalty_wide_d2,high_speed_wide_d2,5.0,5.0,distance_warning,2.0,0,750000,eval_threat_validated_sudden_high_speed,eval_threat_validated_sudden,50,1.0,0.0,0.02,2.3675718688964844,8.796,22.142464585096942,0.20000000000000007,0.20000000000000007,0.0,0.26,0.003147893700355191,0.01888590787071734,1.851255052999079,0.015340733224051339,0.08749812271030849,0.015267150964534317,1.0,1.0,1.0,0.06,results/pre_ppo_priority/p0_adaptation/eval/high_speed_wide_d2_s0_step750000_threat_sudden.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_wide_d2_s0_step750000.zip
P0,high_speed,attention_full_risk_penalty,high_speed_risk,5.0,5.0,risk_sum,1.0,0,250000,eval_accel_decel_high_speed,eval_accel_decel,50,1.0,0.0,0.06,1.7068777453899384,8.436,22.236537631209394,,,1.0,0.06,0.00011727775439794423,0.000221041180193424,0.1608585782315117,0.004101512984437547,0.020080598959521623,0.004101504697267913,1.0,1.0,1.0,0.28,results/pre_ppo_priority/p0_adaptation/eval/high_speed_risk_s0_step250000_accel.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_risk_s0_step250000.zip
P0,high_speed,attention_full_risk_penalty,high_speed_risk,5.0,5.0,risk_sum,1.0,0,250000,eval_ar1_high_speed,eval_ar1,50,1.0,0.0,0.04,1.769344825744629,8.456000000000001,22.23656247489705,,,1.0,0.04,1.0101417537952068e-05,0.0,0.0124173996943142,0.0025320697209881733,0.006012219460571425,0.002531666032504533,1.0,1.0,1.0,0.22,results/pre_ppo_priority/p0_adaptation/eval/high_speed_risk_s0_step250000_ar1.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_risk_s0_step250000.zip
P0,high_speed,attention_full_risk_penalty,high_speed_risk,5.0,5.0,risk_sum,1.0,0,250000,eval_mixed_v2_high_speed,eval_mixed_v2,50,1.0,0.0,0.02,2.4846979665756224,9.304,22.208523038839584,0.20000000000000007,0.20000000000000007,0.0,0.02,1.7116008093580002e-05,0.0,0.0247438136080404,0.0028898695226942904,0.025770371042553312,0.0028898687313041833,1.0,1.0,1.0,0.14,results/pre_ppo_priority/p0_adaptation/eval/high_speed_risk_s0_step250000_mixed_v2.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_risk_s0_step250000.zip
P0,high_speed,attention_full_risk_penalty,high_speed_risk,5.0,5.0,risk_sum,1.0,0,250000,eval_random_switch_high_speed,eval_random_switch,50,0.98,0.02,0.08,2.072047315835953,11.160000000000002,21.73560513331487,,,1.0,0.08,0.00019286916782129855,0.0,0.2983236067969166,0.012358423852371007,0.0782241246714983,0.01226201562248876,1.0,1.0,1.0,0.2,results/pre_ppo_priority/p0_adaptation/eval/high_speed_risk_s0_step250000_random.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_risk_s0_step250000.zip
P0,high_speed,attention_full_risk_penalty,high_speed_risk,5.0,5.0,risk_sum,1.0,0,250000,eval_random_switch_hard_high_speed,eval_random_switch_hard,50,0.54,0.24,0.62,0.8743608784675598,16.163999999999998,10.823659539786581,,,1.0,0.62,0.014353571166534471,0.0400163322747146,0.546043423598249,0.17286089600878768,0.5248002461553551,0.16221147846779785,1.0,1.0,1.0,0.92,results/pre_ppo_priority/p0_adaptation/eval/high_speed_risk_s0_step250000_hard.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_risk_s0_step250000.zip
P0,high_speed,attention_full_risk_penalty,high_speed_risk,5.0,5.0,risk_sum,1.0,0,250000,eval_sinusoidal_high_speed,eval_sinusoidal,50,1.0,0.0,0.08,1.772293792963028,8.564,22.240766476654315,,,1.0,0.08,0.000295421701157462,0.000865134214982388,0.1739501951508515,0.006327028270717002,0.041063746831833184,0.0063260647088333784,1.0,1.0,1.0,0.24,results/pre_ppo_priority/p0_adaptation/eval/high_speed_risk_s0_step250000_sinusoidal.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_risk_s0_step250000.zip
P0,high_speed,attention_full_risk_penalty,high_speed_risk,5.0,5.0,risk_sum,1.0,0,250000,eval_sudden_turn_high_speed,eval_sudden_turn,50,0.98,0.02,0.08,1.6851998090744018,12.620000000000003,21.406153624945997,0.20000000000000007,0.20000000000000007,0.0,0.08,0.00030381605120055095,0.0005226053297519661,0.246377099631502,0.02155032503223988,0.11604850757619711,0.020516707782680853,1.0,1.0,1.0,0.36,results/pre_ppo_priority/p0_adaptation/eval/high_speed_risk_s0_step250000_sudden.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_risk_s0_step250000.zip
P0,high_speed,attention_full_risk_penalty,high_speed_risk,5.0,5.0,risk_sum,1.0,0,250000,eval_threat_validated_sudden_high_speed,eval_threat_validated_sudden,50,1.0,0.0,0.02,2.5604695582389834,10.412,22.117339452025764,0.20000000000000007,0.20000000000000007,0.0,0.02,2.9988201276864857e-07,0.0,0.0007796932553816,0.008348426273494847,0.05319973041493171,0.008324753778884262,1.0,1.0,1.0,0.08,results/pre_ppo_priority/p0_adaptation/eval/high_speed_risk_s0_step250000_threat_sudden.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_risk_s0_step250000.zip
P0,high_speed,attention_full_risk_penalty,high_speed_risk,5.0,5.0,risk_sum,1.0,0,500000,eval_accel_decel_high_speed,eval_accel_decel,50,1.0,0.0,0.08,1.6309367740154266,8.164000000000001,22.197250351953862,,,1.0,0.08,0.00014399951157180444,0.000101106567308306,0.178183008949194,0.00370434895722892,0.025112832914981037,0.003701542634225896,1.0,1.0,1.0,0.32,results/pre_ppo_priority/p0_adaptation/eval/high_speed_risk_s0_step500000_accel.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_risk_s0_step500000.zip
P0,high_speed,attention_full_risk_penalty,high_speed_risk,5.0,5.0,risk_sum,1.0,0,500000,eval_ar1_high_speed,eval_ar1,50,1.0,0.0,0.06,1.6570544338226318,8.160000000000002,22.178808551018452,,,1.0,0.06,0.00010221969110716587,0.0,0.1298864996389426,0.003959786816059402,0.02768821621112889,0.003959703714246112,1.0,1.0,1.0,0.3,results/pre_ppo_priority/p0_adaptation/eval/high_speed_risk_s0_step500000_ar1.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_risk_s0_step500000.zip
P0,high_speed,attention_full_risk_penalty,high_speed_risk,5.0,5.0,risk_sum,1.0,0,500000,eval_mixed_v2_high_speed,eval_mixed_v2,50,0.98,0.02,0.02,2.3869715440273285,8.184000000000001,21.638649617845637,0.2000000000000001,0.2000000000000001,0.02,0.02,0.00042514853179454804,0.00233831688761711,0.2338316819256114,0.007470918970152639,0.029081978632855002,0.007277154189332018,1.0,1.0,1.0,0.12,results/pre_ppo_priority/p0_adaptation/eval/high_speed_risk_s0_step500000_mixed_v2.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_risk_s0_step500000.zip
P0,high_speed,attention_full_risk_penalty,high_speed_risk,5.0,5.0,risk_sum,1.0,0,500000,eval_random_switch_high_speed,eval_random_switch,50,1.0,0.0,0.1,1.8742218029499054,9.62,22.21098201172641,,,1.0,0.1,0.00021656928926592285,0.000943457931280134,0.132790378636006,0.016629846712284676,0.09838654128278673,0.016371291480217168,1.0,1.0,1.0,0.18,results/pre_ppo_priority/p0_adaptation/eval/high_speed_risk_s0_step500000_random.csv,checkpoints/pre_ppo_priority/p0_adaptation/high_speed_risk_s0_step500000.zip
