variant,method,step,scenario_count,success_rate,collision_rate,near_miss_rate,mean_min_distance,mean_time,reaction_time_eval_style,scenario_valid_rate,threat_valid_rate,risk_pareto_positive_scenarios_750k,risk_safety_close_scenarios_750k,wide_overconservative,wide_failure,both_fail,both_work_but_risk_faster,fixed_margin_still_strong,risk_adaptation_supported,wide_mean_time_750k,risk_mean_time_750k,wide_success_750k,risk_success_750k,wide_collision_750k,risk_collision_750k,wide_near_miss_750k,risk_near_miss_750k
high_speed,attention_full_distance_penalty_wide_d2,250000,8,0.9875,0.0125,0.0675,2.1838878329098224,8.955,0.20000000000000007,1.0,1.0,3,5,False,False,False,True,True,False,9.151,8.904,0.9924999999999999,0.9875,0.0075,0.0125,0.055,0.07250000000000001
high_speed,attention_full_distance_penalty_wide_d2,500000,8,0.99,0.01,0.05499999999999999,2.1956073302030563,9.536,0.20000000000000007,1.0,1.0,3,5,False,False,False,True,True,False,9.151,8.904,0.9924999999999999,0.9875,0.0075,0.0125,0.055,0.07250000000000001
high_speed,attention_full_distance_penalty_wide_d2,750000,8,0.9924999999999999,0.0075,0.055,1.9985232522338627,9.151,0.2093333333333334,1.0,1.0,3,5,False,False,False,True,True,False,9.151,8.904,0.9924999999999999,0.9875,0.0075,0.0125,0.055,0.07250000000000001
high_speed,attention_full_risk_penalty,250000,8,0.9375,0.035,0.125,1.8656614865362646,10.639500000000002,0.20000000000000007,1.0,1.0,3,5,False,False,False,True,True,False,9.151,8.904,0.9924999999999999,0.9875,0.0075,0.0125,0.055,0.07250000000000001
high_speed,attention_full_risk_penalty,500000,8,0.98,0.02,0.11,1.799996991828084,8.813,0.20000000000000007,1.0,1.0,3,5,False,False,False,True,True,False,9.151,8.904,0.9924999999999999,0.9875,0.0075,0.0125,0.055,0.07250000000000001
high_speed,attention_full_risk_penalty,750000,8,0.9875,0.0125,0.07250000000000001,1.9146048038080334,8.904,0.20000000000000007,1.0,1.0,3,5,False,False,False,True,True,False,9.151,8.904,0.9924999999999999,0.9875,0.0075,0.0125,0.055,0.07250000000000001
small_space,attention_full_distance_penalty_wide_d2,250000,8,0.8725,0.015000000000000001,0.052500000000000005,2.0268515153229236,14.6895,0.20000000000000007,1.0,0.955,5,5,False,False,False,True,True,False,7.174,6.208,0.965,0.9425,0.035,0.0575,0.1125,0.1575
small_space,attention_full_distance_penalty_wide_d2,500000,8,0.96,0.035,0.11000000000000001,1.7873541419580579,7.28,0.21866666666666676,1.0,0.955,5,5,False,False,False,True,True,False,7.174,6.208,0.965,0.9425,0.035,0.0575,0.1125,0.1575
small_space,attention_full_distance_penalty_wide_d2,750000,8,0.965,0.035,0.1125,1.709263327419758,7.174,0.2053333333333334,1.0,0.955,5,5,False,False,False,True,True,False,7.174,6.208,0.965,0.9425,0.035,0.0575,0.1125,0.1575
small_space,attention_full_risk_penalty,250000,8,0.9375,0.0475,0.135,1.838430446535349,8.8885,0.20000000000000007,1.0,0.955,5,5,False,False,False,True,True,False,7.174,6.208,0.965,0.9425,0.035,0.0575,0.1125,0.1575
small_space,attention_full_risk_penalty,500000,8,0.9624999999999999,0.035,0.14,1.6148083176463843,6.551,0.21600000000000008,1.0,0.955,5,5,False,False,False,True,True,False,7.174,6.208,0.965,0.9425,0.035,0.0575,0.1125,0.1575
small_space,attention_full_risk_penalty,750000,8,0.9425,0.0575,0.1575,1.4912867907807232,6.208,0.21066666666666675,1.0,0.955,5,5,False,False,False,True,True,False,7.174,6.208,0.965,0.9425,0.035,0.0575,0.1125,0.1575
