scenario,seed,step,classification,delta_mean_time,delta_near_miss,delta_min_distance,delta_collision,delta_success,delta_reaction
eval_accel_decel,0,750000,risk_pareto_positive,-0.2239999999999993,0.0,-0.06799967050552347,0.0,0.0,
eval_accel_decel,0,1000000,risk_pareto_positive,-0.29600000000000026,0.0,-0.1390659475326539,0.0,0.0,
eval_accel_decel,1,750000,risk_pareto_positive,-0.5600000000000005,0.0,-0.3014466238021849,0.0,0.0,
eval_accel_decel,1,1000000,risk_pareto_positive,-0.4720000000000004,0.0,-0.22409932851791403,0.0,0.0,
eval_accel_decel,2,750000,risk_pareto_positive,-0.28799999999999937,0.0,-0.14986635446548435,0.0,0.0,
eval_accel_decel,2,1000000,risk_pareto_positive,-0.5919999999999996,-0.02,-0.2819863426685343,0.0,0.0,
eval_ar1,0,750000,risk_pareto_positive,-0.2999999999999998,0.0,-0.11668218374252293,0.0,0.0,
eval_ar1,0,1000000,risk_pareto_positive,-0.2560000000000002,0.0,-0.13716622352600094,0.0,0.0,
eval_ar1,1,750000,risk_pareto_positive,-0.6480000000000006,0.0,-0.26642639160156234,0.0,0.0,
eval_ar1,1,1000000,risk_pareto_positive,-0.6600000000000019,0.0,-0.2560696482658391,0.0,0.0,
eval_ar1,2,750000,risk_efficiency_but_safety_gap,-0.28800000000000026,0.0,-0.20740879893302955,0.02,-0.020000000000000018,
eval_ar1,2,1000000,risk_efficiency_but_safety_gap,-0.5600000000000005,-0.02,-0.33184774696826946,0.02,-0.020000000000000018,
eval_mixed_v2,0,750000,no_meaningful_difference,0.0600000000000005,-0.04,0.22541514277458186,0.0,0.0,-0.015999999999999986
eval_mixed_v2,0,1000000,risk_pareto_positive,-0.3120000000000003,0.0,-0.3083888864517217,0.0,0.0,0.12400000000000008
eval_mixed_v2,1,750000,risk_efficiency_but_safety_gap,-0.18800000000000328,0.06,-0.2079726785421372,0.0,0.0,0.3120000000000001
eval_mixed_v2,1,1000000,no_meaningful_difference,-0.01200000000000312,0.0,-0.19666764259338398,0.0,0.0,-0.07200000000000009
eval_mixed_v2,2,750000,wide_d2_dominates,0.10800000000000054,0.07999999999999999,-0.19093720555305493,0.0,0.0,0.07200000000000009
eval_mixed_v2,2,1000000,risk_pareto_positive,-0.5439999999999987,-0.02,-0.24298134922981274,0.0,0.0,0.10000000000000009
eval_random_switch,0,750000,no_meaningful_difference,0.03999999999999915,0.0,-0.04556713819503866,0.0,0.0,
eval_random_switch,0,1000000,risk_pareto_positive,-0.18400000000000016,0.0,-0.03896053075790373,0.0,0.0,
eval_random_switch,1,750000,risk_pareto_positive,-0.4640000000000022,0.0,-0.195995706319809,0.0,0.0,
eval_random_switch,1,1000000,risk_pareto_positive,-0.49600000000000044,0.0,-0.27492470979690564,0.0,0.0,
eval_random_switch,2,750000,risk_pareto_positive,-0.136000000000001,0.0,-0.07800795793533322,0.0,0.0,
eval_random_switch,2,1000000,risk_pareto_positive,-0.41600000000000037,0.0,-0.23016463994979874,0.0,0.0,
eval_random_switch_hard,0,750000,risk_efficiency_but_safety_gap,-0.22800000000000153,0.060000000000000005,-0.299067139029503,-0.02,0.020000000000000018,
