policy_name,scenario,episodes,success_rate,collision_rate,near_miss_rate,mean_min_distance,min_distance_mean,min_distance_p05,progress_mean,mean_time,episode_length_mean,threat_valid_rate,planned_cpa_min,planned_cpa_mean,planned_ttc_min,planned_ttc_mean,replacement_count_mean,spawn_count_mean,remove_count_mean,mean_active_obstacle_count,max_active_obstacle_count,min_active_obstacle_count,init_collision_rate,out_of_bounds_rate,out_of_bounds_count_mean,nan_or_crash
random,eval_flow_high_density,50,0.0,0.0,0.04,7.031355028877258,3.2905591797828673,1.5811504006385804,0.0775822507345205,100.0,500.0,1.0,0.6006336385011672,1.9065062117576599,0.0,0.8903766680508852,115.82,124.9,115.82,9.08,10,8,0.0,0.0,0.0,0
random,eval_flow_high_speed,50,0.0,0.0,0.12,5.882309792256356,2.4824190628528595,1.2777761697769165,0.09721635608939576,100.0,500.0,1.0,0.5231211131811142,1.5723949563503266,0.0,0.7377212899923324,189.68,196.06,189.68,6.38,8,5,0.0,0.0,0.0,0
random,eval_flow_high_threat,50,0.0,0.0,0.0,7.234369848284722,3.6563319778442382,2.0531833291053774,0.08822794781419852,100.0,500.0,1.0,0.5300810754299163,1.4394149518013,0.0,0.9579610545933247,71.26,77.92,71.26,6.66,8,5,0.0,0.0,0.0,0
random,eval_flow_id,50,0.0,0.0,0.0,8.370620995197296,4.574603877067566,2.9404646277427675,0.09854812330187705,100.0,500.0,1.0,0.6369285291433334,1.9296366131305696,0.0,1.0408132575452327,88.84,95.1,88.84,6.26,8,5,0.0,0.0,0.0,0
random,eval_flow_mixed_ood,50,0.0,0.0,0.06,6.7724840330123905,3.2705572509765624,1.5284159541130067,0.09269030280264552,100.0,500.0,1.0,0.5954999721050263,1.591881605386734,0.0,0.8813819533586502,90.24,96.92,90.24,6.68,8,5,0.0,0.0,0.0,0
random,eval_flow_sudden_threat,50,0.0,0.0,0.02,7.52043995601654,3.8402475905418396,1.7051717698574067,0.0929867803687709,100.0,500.0,1.0,0.5624677520990372,1.5222509157657624,0.0,0.8988517210632563,73.36,79.72,73.36,6.36,8,5,0.0,0.0,0.0,0
reactive,eval_flow_high_density,50,0.02,0.02,0.14,3.5622777919168676,1.879489939212799,1.0101467043161392,0.9041898382031747,98.10799999999999,490.54,1.0,0.5995928525924683,1.9872267580032348,0.0,1.0896440313756466,152.38,161.34,152.38,8.96,10,8,0.0,0.0,0.0,0
reactive,eval_flow_high_speed,50,0.1,0.04,0.34,3.960685180885329,1.5620415318012237,0.7420963257551193,0.9362914275350596,94.63600000000001,473.18,1.0,0.7422116422653198,1.9034218728542327,0.01725636512041092,0.6182030756399035,220.86,227.52,220.86,6.66,8,5,0.0,0.0,0.0,0
reactive,eval_flow_high_threat,50,0.08,0.14,0.3,3.8170149172950776,1.4603069037199021,0.5507487148046494,0.9485686936334212,88.84,444.2,1.0,0.6861411929130554,1.6668139898777008,0.008000000119209347,0.6770507323741913,111.38,117.62,111.38,6.24,8,5,0.0,0.0,0.0,0
reactive,eval_flow_id,50,0.22,0.18,0.28,3.851434100429272,1.3533923715353011,0.5371888875961304,0.9571122724324502,81.812,409.06,1.0,0.8508752429485321,2.062087049484253,0.01804932430386549,1.1881034350767732,106.82,113.16,106.82,6.34,8,5,0.0,0.0,0.0,0
