policy_name,scenario,episode_id,replacement_count,spawn_count,remove_count
random,eval_flow_id,0,68,73,68
random,eval_flow_id,1,118,126,118
random,eval_flow_id,2,102,109,102
random,eval_flow_id,3,112,120,112
random,eval_flow_id,4,121,129,121
random,eval_flow_id,5,80,86,80
random,eval_flow_id,6,73,79,73
random,eval_flow_id,7,85,90,85
random,eval_flow_id,8,67,72,67
random,eval_flow_id,9,102,109,102
random,eval_flow_id,10,83,88,83
random,eval_flow_id,11,100,107,100
random,eval_flow_id,12,63,69,63
random,eval_flow_id,13,95,103,95
random,eval_flow_id,14,73,78,73
random,eval_flow_id,15,93,99,93
random,eval_flow_id,16,96,102,96
random,eval_flow_id,17,56,61,56
random,eval_flow_id,18,95,103,95
random,eval_flow_id,19,128,135,128
random,eval_flow_id,20,114,122,114
random,eval_flow_id,21,90,95,90
random,eval_flow_id,22,74,79,74
random,eval_flow_id,23,77,83,77
random,eval_flow_id,24,90,97,90
random,eval_flow_id,25,80,87,80
random,eval_flow_id,26,115,123,115
random,eval_flow_id,27,94,100,94
random,eval_flow_id,28,103,109,103
random,eval_flow_id,29,118,126,118
random,eval_flow_id,30,68,73,68
random,eval_flow_id,31,113,121,113
random,eval_flow_id,32,95,102,95
random,eval_flow_id,33,70,75,70
random,eval_flow_id,34,113,121,113
random,eval_flow_id,35,100,106,100
random,eval_flow_id,36,64,69,64
random,eval_flow_id,37,83,89,83
random,eval_flow_id,38,92,99,92
random,eval_flow_id,39,79,84,79
random,eval_flow_id,40,77,82,77
random,eval_flow_id,41,96,102,96
random,eval_flow_id,42,92,98,92
random,eval_flow_id,43,68,73,68
random,eval_flow_id,44,71,76,71
random,eval_flow_id,45,67,72,67
random,eval_flow_id,46,91,97,91
random,eval_flow_id,47,113,121,113
random,eval_flow_id,48,51,56,51
random,eval_flow_id,49,74,80,74
straight_line,eval_flow_id,0,30,36,30
straight_line,eval_flow_id,1,11,16,11
straight_line,eval_flow_id,2,12,18,12
straight_line,eval_flow_id,3,10,17,10
straight_line,eval_flow_id,4,7,15,7
straight_line,eval_flow_id,5,33,40,33
straight_line,eval_flow_id,6,12,18,12
straight_line,eval_flow_id,7,5,13,5
straight_line,eval_flow_id,8,4,9,4
straight_line,eval_flow_id,9,4,9,4
straight_line,eval_flow_id,10,14,22,14
straight_line,eval_flow_id,11,51,59,51
straight_line,eval_flow_id,12,19,25,19
straight_line,eval_flow_id,13,6,13,6
straight_line,eval_flow_id,14,19,25,19
straight_line,eval_flow_id,15,13,21,13
straight_line,eval_flow_id,16,11,16,11
straight_line,eval_flow_id,17,10,18,10
straight_line,eval_flow_id,18,3,8,3
straight_line,eval_flow_id,19,7,13,7
straight_line,eval_flow_id,20,18,23,18
straight_line,eval_flow_id,21,4,11,4
straight_line,eval_flow_id,22,15,23,15
straight_line,eval_flow_id,23,14,21,14
straight_line,eval_flow_id,24,18,26,18
straight_line,eval_flow_id,25,8,15,8
straight_line,eval_flow_id,26,11,16,11
straight_line,eval_flow_id,27,27,33,27
straight_line,eval_flow_id,28,2,8,2
straight_line,eval_flow_id,29,7,12,7
straight_line,eval_flow_id,30,27,34,27
straight_line,eval_flow_id,31,4,9,4
straight_line,eval_flow_id,32,9,16,9
straight_line,eval_flow_id,33,23,30,23
straight_line,eval_flow_id,34,18,24,18
straight_line,eval_flow_id,35,17,23,17
straight_line,eval_flow_id,36,11,18,11
straight_line,eval_flow_id,37,7,12,7
straight_line,eval_flow_id,38,0,5,0
straight_line,eval_flow_id,39,15,21,15
straight_line,eval_flow_id,40,4,9,4
straight_line,eval_flow_id,41,21,28,21
straight_line,eval_flow_id,42,7,13,7
straight_line,eval_flow_id,43,3,9,3
straight_line,eval_flow_id,44,27,34,27
straight_line,eval_flow_id,45,14,21,14
straight_line,eval_flow_id,46,11,17,11
straight_line,eval_flow_id,47,15,22,15
straight_line,eval_flow_id,48,12,19,12
straight_line,eval_flow_id,49,4,10,4
reactive,eval_flow_id,0,148,155,148
reactive,eval_flow_id,1,95,101,95
reactive,eval_flow_id,2,142,150,142
reactive,eval_flow_id,3,164,170,164
reactive,eval_flow_id,4,77,82,77
reactive,eval_flow_id,5,57,62,57
reactive,eval_flow_id,6,125,132,125
reactive,eval_flow_id,7,53,58,53
reactive,eval_flow_id,8,96,103,96
reactive,eval_flow_id,9,118,124,118
reactive,eval_flow_id,10,137,143,137
reactive,eval_flow_id,11,115,121,115
reactive,eval_flow_id,12,125,133,125
reactive,eval_flow_id,13,103,109,103
reactive,eval_flow_id,14,48,55,48
reactive,eval_flow_id,15,93,98,93
reactive,eval_flow_id,16,44,49,44
reactive,eval_flow_id,17,177,183,177
reactive,eval_flow_id,18,134,139,134
reactive,eval_flow_id,19,131,139,131
reactive,eval_flow_id,20,157,162,157
reactive,eval_flow_id,21,124,131,124
reactive,eval_flow_id,22,84,90,84
reactive,eval_flow_id,23,136,144,136
reactive,eval_flow_id,24,55,60,55
reactive,eval_flow_id,25,34,39,34
reactive,eval_flow_id,26,133,141,133
reactive,eval_flow_id,27,139,147,139
reactive,eval_flow_id,28,127,135,127
reactive,eval_flow_id,29,210,216,210
reactive,eval_flow_id,30,144,149,144
reactive,eval_flow_id,31,52,57,52
reactive,eval_flow_id,32,138,146,138
reactive,eval_flow_id,33,97,103,97
reactive,eval_flow_id,34,106,112,106
reactive,eval_flow_id,35,60,65,60
reactive,eval_flow_id,36,170,177,170
reactive,eval_flow_id,37,129,136,129
reactive,eval_flow_id,38,116,123,116
reactive,eval_flow_id,39,121,128,121
reactive,eval_flow_id,40,33,38,33
reactive,eval_flow_id,41,47,52,47
reactive,eval_flow_id,42,139,147,139
reactive,eval_flow_id,43,40,45,40
reactive,eval_flow_id,44,72,79,72
reactive,eval_flow_id,45,140,147,140
reactive,eval_flow_id,46,41,47,41
reactive,eval_flow_id,47,142,150,142
reactive,eval_flow_id,48,124,132,124
reactive,eval_flow_id,49,49,54,49
random,eval_flow_high_density,0,108,117,108
random,eval_flow_high_density,1,122,132,122
random,eval_flow_high_density,2,103,112,103
random,eval_flow_high_density,3,115,124,115
random,eval_flow_high_density,4,110,118,110
random,eval_flow_high_density,5,105,114,105
random,eval_flow_high_density,6,123,133,123
random,eval_flow_high_density,7,106,114,106
random,eval_flow_high_density,8,113,122,113
random,eval_flow_high_density,9,109,117,109
random,eval_flow_high_density,10,117,127,117
random,eval_flow_high_density,11,102,110,102
random,eval_flow_high_density,12,125,134,125
random,eval_flow_high_density,13,88,96,88
random,eval_flow_high_density,14,119,128,119
random,eval_flow_high_density,15,113,122,113
random,eval_flow_high_density,16,137,147,137
random,eval_flow_high_density,17,98,106,98
random,eval_flow_high_density,18,124,133,124
random,eval_flow_high_density,19,125,134,125
random,eval_flow_high_density,20,111,120,111
random,eval_flow_high_density,21,116,126,116
random,eval_flow_high_density,22,121,131,121
random,eval_flow_high_density,23,133,142,133
random,eval_flow_high_density,24,101,109,101
random,eval_flow_high_density,25,125,135,125
random,eval_flow_high_density,26,92,101,92
random,eval_flow_high_density,27,123,133,123
random,eval_flow_high_density,28,109,117,109
random,eval_flow_high_density,29,133,143,133
random,eval_flow_high_density,30,124,134,124
random,eval_flow_high_density,31,125,135,125
random,eval_flow_high_density,32,132,142,132
random,eval_flow_high_density,33,108,116,108
random,eval_flow_high_density,34,91,99,91
random,eval_flow_high_density,35,122,132,122
random,eval_flow_high_density,36,128,138,128
random,eval_flow_high_density,37,155,164,155
random,eval_flow_high_density,38,100,108,100
random,eval_flow_high_density,39,100,108,100
random,eval_flow_high_density,40,133,143,133
random,eval_flow_high_density,41,121,130,121
random,eval_flow_high_density,42,97,106,97
random,eval_flow_high_density,43,113,122,113
random,eval_flow_high_density,44,141,151,141
random,eval_flow_high_density,45,118,128,118
random,eval_flow_high_density,46,99,107,99
random,eval_flow_high_density,47,131,140,131
random,eval_flow_high_density,48,105,114,105
random,eval_flow_high_density,49,122,131,122
straight_line,eval_flow_high_density,0,5,13,5
straight_line,eval_flow_high_density,1,13,22,13
straight_line,eval_flow_high_density,2,12,22,12
straight_line,eval_flow_high_density,3,8,18,8
straight_line,eval_flow_high_density,4,8,18,8
straight_line,eval_flow_high_density,5,19,29,19
straight_line,eval_flow_high_density,6,3,11,3
straight_line,eval_flow_high_density,7,28,37,28
straight_line,eval_flow_high_density,8,31,39,31
straight_line,eval_flow_high_density,9,16,24,16
straight_line,eval_flow_high_density,10,4,12,4
straight_line,eval_flow_high_density,11,8,17,8
straight_line,eval_flow_high_density,12,9,17,9
straight_line,eval_flow_high_density,13,32,42,32
straight_line,eval_flow_high_density,14,14,24,14
straight_line,eval_flow_high_density,15,2,10,2
straight_line,eval_flow_high_density,16,14,22,14
straight_line,eval_flow_high_density,17,10,19,10
straight_line,eval_flow_high_density,18,31,39,31
straight_line,eval_flow_high_density,19,8,17,8
straight_line,eval_flow_high_density,20,11,21,11
straight_line,eval_flow_high_density,21,4,12,4
straight_line,eval_flow_high_density,22,14,24,14
straight_line,eval_flow_high_density,23,23,33,23
straight_line,eval_flow_high_density,24,7,16,7
straight_line,eval_flow_high_density,25,10,19,10
straight_line,eval_flow_high_density,26,4,13,4
straight_line,eval_flow_high_density,27,14,24,14
straight_line,eval_flow_high_density,28,8,17,8
straight_line,eval_flow_high_density,29,19,29,19
straight_line,eval_flow_high_density,30,10,18,10
straight_line,eval_flow_high_density,31,5,14,5
straight_line,eval_flow_high_density,32,14,22,14
straight_line,eval_flow_high_density,33,18,27,18
straight_line,eval_flow_high_density,34,41,50,41
straight_line,eval_flow_high_density,35,8,16,8
straight_line,eval_flow_high_density,36,4,12,4
straight_line,eval_flow_high_density,37,4,13,4
straight_line,eval_flow_high_density,38,7,17,7
straight_line,eval_flow_high_density,39,6,15,6
straight_line,eval_flow_high_density,40,35,44,35
straight_line,eval_flow_high_density,41,31,40,31
straight_line,eval_flow_high_density,42,5,15,5
straight_line,eval_flow_high_density,43,10,20,10
straight_line,eval_flow_high_density,44,7,17,7
straight_line,eval_flow_high_density,45,21,31,21
straight_line,eval_flow_high_density,46,2,10,2
straight_line,eval_flow_high_density,47,12,22,12
straight_line,eval_flow_high_density,48,15,25,15
straight_line,eval_flow_high_density,49,10,19,10
reactive,eval_flow_high_density,0,201,209,201
reactive,eval_flow_high_density,1,164,174,164
reactive,eval_flow_high_density,2,164,174,164
reactive,eval_flow_high_density,3,165,173,165
