policy_name,scenario,episodes,success_rate,collision_rate,near_miss_rate,mean_min_distance,min_distance_mean,min_distance_p05,progress_mean,mean_time,episode_length_mean,threat_valid_rate,planned_cpa_min,planned_cpa_mean,planned_ttc_min,planned_ttc_mean,replacement_count_mean,spawn_count_mean,remove_count_mean,mean_active_obstacle_count,max_active_obstacle_count,min_active_obstacle_count,init_collision_rate,out_of_bounds_rate,out_of_bounds_count_mean,nan_or_crash
random,eval_flow_high_density,20,0.0,0.0,0.0,7.081597133171559,3.0497002243995666,1.6607692122459412,0.08136814206348052,100.0,500.0,1.0,0.6284177824854851,1.9478837072849273,0.0,0.8349536828696728,113.1,122.0,113.1,8.9,10,8,0.0,0.0,0.0,0
random,eval_flow_high_speed,20,0.0,0.0,0.15,5.805770089554787,2.621710419654846,1.4719375252723694,0.12160405277513678,100.0,500.0,1.0,0.4914397239685059,1.651635354757309,0.0,0.8653263330459595,207.4,214.2,207.4,6.8,8,5,0.0,0.0,0.0,0
random,eval_flow_high_threat,20,0.0,0.0,0.0,7.281245665001869,3.436125713586807,2.4523180782794953,0.08919631527294382,100.0,500.0,1.0,0.5967790305614471,1.4803214251995087,0.0,1.000057116150856,68.9,75.4,68.9,6.5,8,5,0.0,0.0,0.0,0
random,eval_flow_id,20,0.0,0.0,0.0,8.368551192426683,4.785522592067719,3.548238158226013,0.10613616886723147,100.0,500.0,1.0,0.5553540721535682,1.9964998096227646,0.0,1.1465803988277912,90.5,96.9,90.5,6.4,8,5,0.0,0.0,0.0,0
random,eval_flow_mixed_ood,20,0.0,0.0,0.1,6.723941625165939,3.160726177692413,1.2823433041572572,0.1003057096392271,100.0,500.0,1.0,0.5868785038590432,1.6072221219539642,0.0,0.7520304806530476,88.25,94.7,88.25,6.45,8,5,0.0,0.0,0.0,0
random,eval_flow_sudden_threat,20,0.0,0.0,0.0,7.529336716198921,3.914191520214081,1.6377437949180602,0.0827185245234034,100.0,500.0,1.0,0.5223220139741898,1.3910168886184693,0.0,0.7916123026981949,74.2,80.5,74.2,6.3,8,5,0.0,0.0,0.0,0
reactive,eval_flow_high_density,20,0.0,0.0,0.25,3.544989050632715,1.8399327605962754,0.9119773358106613,0.9097921402702782,100.0,500.0,1.0,0.6529334768652916,2.0550786018371583,0.0,1.3798837194219231,159.15,168.2,159.15,9.05,10,8,0.0,0.0,0.0,0
reactive,eval_flow_high_speed,20,0.1,0.05,0.4,3.7333798091229666,1.4529970079660415,0.6778933137655259,0.9275013159866552,95.55,477.75,1.0,0.7918424814939499,2.060816985368729,0.033140912652015686,0.6208537475205957,224.45,231.35,224.45,6.9,8,5,0.0,0.0,0.0,0
reactive,eval_flow_high_threat,20,0.15,0.1,0.25,3.919010022904481,1.5590176075696944,0.6330008149147034,0.9606893200480613,86.12,430.6,1.0,0.7419321119785309,1.8211810529232024,0.020000000298023367,0.7017482053488493,122.55,128.8,122.55,6.25,8,5,0.0,0.0,0.0,0
reactive,eval_flow_id,20,0.2,0.2,0.35,3.783905847276377,1.2754239171743393,0.537473201751709,0.9637907167918695,82.11,410.55,1.0,0.8811126753687859,2.1097184658050536,0.040000001341104506,1.2094328228384257,109.1,115.3,109.1,6.2,8,5,0.0,0.0,0.0,0
