method,seed,episode,episode_seed,step,time,turn_step,has_turned,turning_obstacle_id,success,collision,min_distance,episode_min_distance,R_max,R_sum,R_bar,risk_turn,sigma_turn_x,sigma_turn_y,sigma_turn_z,sigma_turn_trace,mu_turn_x,mu_turn_y,mu_turn_z,dist_turn,rel_speed_turn,w_risk_turn,risk_rank_turn,action_x,action_y,action_z,v_des_norm,deviation_lateral
attention_full,0,27,1027,1,0.2,15,False,-1,0,0,1.7507712841033936,1.7507712841033936,0.7045794129371643,0.7045794129371643,0.6072664689810157,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,-0.07973797619342804,2.8329193592071533,0.5299379825592041
attention_full,0,27,1027,2,0.4,15,False,-1,0,0,1.2956109046936035,1.2956109046936035,0.6712722182273865,0.6712722182273865,0.5858161233691813,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7109851837158203,1.0,0.6084427237510681,2.7391257286071777,1.7120665311813354
attention_full,0,27,1027,3,0.6000000000000001,15,False,-1,0,0,0.9841231107711792,0.9841231107711792,0.4701228439807892,0.4701228439807892,0.43829856513633475,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,3.464101552963257,2.4223906993865967
attention_full,0,27,1027,4,0.8,15,False,-1,0,0,0.9270274043083191,0.9270274043083191,0.005771685857325792,0.005771685857325792,0.005771621768691956,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,3.464101552963257,2.470134973526001
attention_full,0,27,1027,5,1.0,15,False,-1,0,0,1.1491776704788208,0.9270274043083191,2.9217350316912416e-08,2.9217350316912416e-08,2.9217350316912406e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,0.8124328851699829,3.261930227279663,2.1570045948028564
attention_full,0,27,1027,6,1.2000000000000002,15,False,-1,0,0,1.5457589626312256,0.9270274043083191,2.386088424283575e-14,2.972730229837926e-14,2.972730229837926e-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,0.7160908579826355,3.170354127883911,2.0199005603790283
attention_full,0,27,1027,7,1.4000000000000001,15,False,-1,0,0,2.021955966949463,0.9270274043083191,3.929911517736029e-12,3.929911517736029e-12,3.929911517736029e-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,0.6434043049812317,3.1073906421661377,1.9286270141601562
attention_full,0,27,1027,8,1.6,15,False,-1,0,0,2.5363268852233887,0.9270274043083191,2.353449657377382e-10,2.353449657377382e-10,2.353449657377382e-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,0.574852705001831,3.053165912628174,1.8463070392608643
attention_full,0,27,1027,9,1.8,15,False,-1,0,0,3.071943521499634,0.9270274043083191,6.5515926017667425e-09,6.5515926017667425e-09,6.5515926017667425e-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,0.4991949200630188,2.9994635581970215,1.7523462772369385
attention_full,0,27,1027,10,2.0,15,False,-1,0,0,3.621209144592285,0.9270274043083191,1.0255769211653387e-07,1.0255769211653387e-07,1.025576921165335e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,0.4138934910297394,2.9470715522766113,1.64283287525177
attention_full,0,27,1027,11,2.2,15,False,-1,0,0,3.2934393882751465,0.9270274043083191,1.014245867736463e-06,1.014245867736463e-06,1.014245867736115e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,0.3209521472454071,2.9003517627716064,1.5225369930267334
attention_full,0,27,1027,12,2.4000000000000004,15,False,-1,0,0,3.10427188873291,0.9270274043083191,3.6548852222040296e-05,3.6548852222040296e-05,3.654885220576608e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,0.22488699853420258,2.8639650344848633,1.4008978605270386
attention_full,0,27,1027,13,2.6,15,False,-1,0,0,2.9153618812561035,0.9270274043083191,0.00030114236869849265,0.00030114236869849265,0.0003011423595952878,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,0.13321958482265472,2.8409488201141357,1.292083978652954
attention_full,0,27,1027,14,2.8000000000000003,15,False,-1,0,0,2.674388885498047,0.9270274043083191,0.0038885169196873903,0.0038885169196873903,0.0038884973209498256,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,0.05141089856624603,2.8302955627441406,1.2054864168167114
attention_full,0,27,1027,15,3.0,15,True,1,0,0,2.4248416423797607,0.9270274043083191,0.03498446196317673,0.03498446196317673,0.034970196306082516,0.03498446196317673,0.1999761164188385,0.8592817783355713,0.165589839220047,1.224847674369812,-0.5144948959350586,-0.08155253529548645,0.3534510135650635,2.4248416423797607,3.055760145187378,1.0,1.0,1.0,1.0,-0.013676030561327934,2.828559398651123,1.1504979133605957
attention_full,0,27,1027,16,3.2,15,True,1,0,0,1.9390344619750977,0.9270274043083191,0.12391858547925949,0.12391858547925949,0.12328816710628045,0.12391858547925949,0.18905644118785858,0.7770145535469055,0.22565916180610657,1.1917301416397095,-0.5446245074272156,-0.10068626701831818,0.44098860025405884,1.9390344619750977,3.0788190364837646,1.0,1.0,1.0,1.0,-0.050254397094249725,2.830212354660034,1.140439748764038
attention_full,0,27,1027,17,3.4000000000000004,15,True,1,0,0,1.5478907823562622,0.9270274043083191,0.09600906074047089,0.09600906074047089,0.09571514886253694,0.09600906074047089,0.17750391364097595,0.7022784948348999,0.2651621699333191,1.144944667816162,-0.5717411637306213,-0.11790663003921509,0.5197724103927612,1.5478907823562622,3.080439329147339,1.0,1.0,1.0,1.0,-0.046956032514572144,2.8299858570098877,1.186939001083374
attention_full,0,27,1027,18,3.6,15,True,1,0,0,1.3330942392349243,0.9270274043083191,0.019500603899359703,0.019500603899359703,0.019498132420654374,0.019500603899359703,0.16570955514907837,0.6344526410102844,0.2889217734336853,1.0890839099884033,-0.5961461663246155,-0.1334049552679062,0.5906778573989868,1.3330941200256348,3.0915796756744385,1.0,1.0,1.0,1.0,-0.07008624821901321,2.8318984508514404,1.2011796236038208
