method,seed,episode,success,collision,episode_min_distance,steps,turn_step,turning_obstacle_id,risk_at_turn,risk_max_after_turn,risk_rise_time_0p3,risk_rise_time_0p5,risk_rise_time_0p7,sigma_trace_at_turn,sigma_trace_max_after_turn,sigma_rise_time_2x,R_sum_at_turn,R_sum_max_after_turn,R_bar_at_turn,R_bar_max_after_turn,w_risk_at_turn,w_risk_max_after_turn,risk_rank_at_turn,risk_rank_best_after_turn,reaction_time
risk,0,0,1,0,1.512959361076355,81,15,0,1.813319414623038e-07,0.11215729266405106,nan,nan,nan,0.6868607997894287,1.8572698831558228,0.8000000000000003,1.813319414623038e-07,0.11215729266405106,1.8133194146230182e-07,0.11168936182743837,1.0,1.0,1.0,1.0,0.20000000000000018
risk,0,1,1,0,0.8508560061454773,89,15,0,1.5724249351478647e-06,0.000669997010845691,nan,nan,nan,1.3735524415969849,2.443181037902832,nan,1.5724249351478647e-06,0.772453784942627,1.5724249351465688e-06,0.6483540186645209,1.0,1.0,1.0,1.0,0.20000000000000018
risk,0,2,1,0,1.7662769556045532,53,15,2,2.3256613450656006e-24,2.0974007253204974e-10,nan,nan,nan,0.6473748087882996,2.0395281314849854,2.0,2.3256613450656006e-24,0.013487827964127064,2.3256613450656006e-24,0.013487010114994749,0.3333333432674408,0.3333333432674408,1.0,1.0,0.20000000000000018
risk,0,3,1,0,2.298280954360962,61,15,1,5.745716080696184e-08,3.917920184903778e-05,nan,nan,nan,1.2950897216796875,1.995202898979187,nan,5.745716080696184e-08,0.0004483766679186374,5.745716080696177e-08,0.00044837663787118014,1.0,1.0,1.0,1.0,0.20000000000000018
risk,0,4,1,0,3.044313907623291,50,15,2,3.768668905536735e-39,1.67378350762748e-11,nan,nan,nan,0.4918047785758972,1.7488951683044434,1.8000000000000007,9.636250357814917e-31,0.019408313557505608,9.636250357814917e-31,0.019405876999730353,0.3333333432674408,0.3333333432674408,2.0,1.0,0.20000000000000018
risk,0,5,1,0,1.4544609785079956,69,15,1,3.699427945817517e-43,2.8422736386701786e-11,nan,nan,nan,0.5531492233276367,2.4887609481811523,0.8000000000000003,4.0081864569663076e-21,0.3181135952472687,4.0081864569663076e-21,0.30780022928791734,0.3333333432674408,0.3333333432674408,2.0,1.0,0.20000000000000018
risk,0,6,1,0,1.5584287643432617,58,15,2,4.1877523042181675e-13,5.781587333331117e-07,nan,nan,nan,0.9802286624908447,1.9641402959823608,5.6,4.1877523042181675e-13,0.127632275223732,4.1877523042181675e-13,0.12694371835614798,0.3333333432674408,0.999877393245697,1.0,1.0,0.20000000000000018
risk,0,7,1,0,2.280207872390747,65,15,1,5.9207338061823956e-36,3.7652235779454254e-18,nan,nan,nan,0.5143195986747742,2.0584828853607178,1.6000000000000005,5.9207338061823956e-36,8.669268936500885e-06,5.9207338061823956e-36,8.669268936283702e-06,0.3333333432674408,0.3333333432674408,1.0,1.0,0.20000000000000018
risk,0,8,1,0,1.0647262334823608,67,15,0,1.4412201210234343e-08,2.7349480660632253e-05,nan,nan,nan,2.338958978652954,2.358530282974243,nan,1.4412201210234343e-08,0.4438728988170624,1.4412201210234342e-08,0.41684953075113246,1.0,1.0,1.0,1.0,0.20000000000000018
risk,0,9,1,0,1.8516991138458252,59,15,1,2.2504853337056562e-42,4.584531539120196e-12,nan,nan,nan,0.8081163763999939,2.161072254180908,0.6000000000000001,3.1077172336869894e-30,0.01753169298171997,3.1077172336869894e-30,0.017529897020625088,0.3333333432674408,0.3333333432674408,2.0,1.0,0.20000000000000018
risk,0,10,1,0,1.6621147394180298,73,15,0,3.2405550682082507e-13,7.960758163783055e-10,nan,nan,nan,1.91037917137146,2.333714246749878,nan,3.2405550682082507e-13,0.05625719204545021,3.2405550682082507e-13,0.05619791815116071,0.3333333432674408,0.3333333432674408,1.0,1.0,0.20000000000000018
risk,0,11,1,0,2.5522375106811523,61,15,2,2.04328685840081e-16,1.5506068651305327e-10,nan,nan,nan,1.0371935367584229,1.919616937637329,nan,2.04328685840081e-16,1.0157075394090498e-06,2.04328685840081e-16,1.0157075394087006e-06,0.3333333432674408,0.3333333432674408,1.0,1.0,0.20000000000000018
risk,0,12,1,0,1.5353538990020752,51,15,0,1.0174092121029228e-20,0.0009236205369234085,nan,nan,nan,0.5782318115234375,2.2107112407684326,0.6000000000000001,4.454167612001625e-13,0.08738964051008224,4.454167612001625e-13,0.08716785457556879,0.3333333432674408,1.0,2.0,1.0,0.20000000000000018
risk,0,13,1,0,1.2744085788726807,83,15,0,7.884208912400936e-07,0.05467928200960159,nan,nan,nan,1.3690154552459717,2.2893333435058594,nan,7.884208912400936e-07,0.2768489420413971,7.884208912399303e-07,0.26998620412760843,1.0,1.0,1.0,1.0,0.20000000000000018
risk,0,14,1,0,2.216785430908203,87,15,0,5.9366455572003665e-15,7.525459750468144e-06,nan,nan,nan,1.0177419185638428,2.099750518798828,5.800000000000001,5.9366455572003665e-15,0.008806349709630013,5.9366455572003665e-15,0.008806122067281902,0.3333333432674408,1.0,1.0,1.0,0.20000000000000018
risk,0,15,1,0,2.052363395690918,62,15,0,1.1937006287945917e-13,1.0814702022798883e-07,nan,nan,nan,1.858183741569519,1.9440213441848755,nan,1.2088483426070384e-12,0.0033229661639779806,1.2088483426070384e-12,0.003322953933185871,0.3333333432674408,0.9999997019767761,2.0,1.0,0.20000000000000018
risk,0,16,1,0,1.7931734323501587,63,15,1,4.304495254496452e-29,8.73887842089971e-08,nan,nan,nan,0.4501437842845917,2.2677218914031982,1.0,4.304495254496452e-29,0.02623271942138672,4.304495254496452e-29,0.02622670367997436,0.3333333432674408,1.0,1.0,1.0,0.20000000000000018
risk,0,17,1,0,1.2697683572769165,100,15,0,1.4564004686690168e-06,0.0009542961488477886,nan,nan,nan,1.7244192361831665,2.2564380168914795,nan,1.4564004686690168e-06,0.23061023652553558,1.4564004686679873e-06,0.22660733261155253,1.0,1.0,1.0,1.0,0.20000000000000018
risk,0,18,1,0,1.7186691761016846,91,15,0,0.0001455989695386961,0.042145516723394394,nan,nan,nan,1.4300553798675537,2.4655182361602783,nan,0.0001455989695386961,0.13559657335281372,0.00014559896850984235,0.13477159452186915,1.0,1.0,1.0,1.0,0.20000000000000018
risk,0,19,1,0,1.552065134048462,44,15,0,2.0677161155155388e-13,2.515932919777697e-06,nan,nan,nan,0.6898572444915771,1.8608293533325195,2.0,2.0677161155155388e-13,0.06629393249750137,2.0677161155155388e-13,0.0661969848428907,0.3333333432674408,1.0,1.0,1.0,0.20000000000000018
risk,0,20,1,0,1.178141713142395,97,15,1,4.1449704779594754e-11,0.01773066446185112,nan,nan,nan,0.5911870002746582,2.492587089538574,0.6000000000000001,4.1449704779594754e-11,0.31333014369010925,4.1449704779594754e-11,0.303463614696874,0.3333333432674408,1.0,1.0,1.0,0.20000000000000018
risk,0,21,1,0,2.0363376140594482,75,15,1,0.0,6.378267953759728e-23,nan,nan,nan,0.45108333230018616,1.7511186599731445,1.0,0.0,0.0005015623173676431,0.0,0.0005015622753091796,0.3333333432674408,0.3333333432674408,2.0,1.0,0.20000000000000018
risk,0,22,1,0,2.449208974838257,67,15,1,3.621215671542713e-35,2.2135433486170086e-09,nan,nan,nan,0.7130902409553528,2.262237548828125,1.6000000000000005,4.514955388859121e-15,0.1418391317129135,4.514955388859121e-15,0.14089553516572664,0.3333333432674408,0.3333333432674408,2.0,1.0,0.20000000000000018
