method,seed,episode,episode_seed,step,time,turn_step,has_turned,turning_obstacle_id,success,collision,min_distance,episode_min_distance,R_max,R_sum,R_bar,risk_turn,sigma_turn_x,sigma_turn_y,sigma_turn_z,sigma_turn_trace,mu_turn_x,mu_turn_y,mu_turn_z,dist_turn,rel_speed_turn,w_risk_turn,risk_rank_turn,action_x,action_y,action_z,v_des_norm,deviation_lateral
risk,0,8,1008,1,0.2,15,False,-1,0,0,1.231255292892456,1.231255292892456,0.4438728988170624,0.4438728988170624,0.41684953075113246,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5494966506958008,-0.11526255309581757,1.0,2.2936713695526123,2.158595085144043
risk,0,8,1008,2,0.4,15,False,-1,0,0,1.0647262334823608,1.0647262334823608,0.017813384532928467,0.017813384532928467,0.017811500610769727,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8435457348823547,0.08161822706460953,1.0,2.621626138687134,2.3034536838531494
risk,0,8,1008,3,0.6000000000000001,15,False,-1,0,0,1.2769018411636353,1.0647262334823608,3.970191357893782e-07,3.970191357893782e-07,3.9701913578935734e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6883388161659241,0.36358609795570374,1.0,2.5345652103424072,2.398005723953247
risk,0,8,1008,4,0.8,15,False,-1,0,0,1.7272167205810547,1.0647262334823608,7.464397481192486e-13,7.464397481192486e-13,7.464397481192486e-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5573216080665588,0.26425477862358093,1.0,2.3498408794403076,2.2924907207489014
risk,0,8,1008,5,1.0,15,False,-1,0,0,2.2736258506774902,1.0647262334823608,5.535387242144375e-21,5.535390877215426e-21,5.535390877215426e-21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4305257201194763,0.3421715199947357,0.9782755374908447,2.2445104122161865,2.2363131046295166
risk,0,8,1008,6,1.2000000000000002,15,False,-1,0,0,2.8519997596740723,1.0647262334823608,7.835580856352434e-32,1.1325317955412591e-31,1.1325317955412591e-31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4113476872444153,0.30795204639434814,0.8638549447059631,2.010260581970215,2.0037691593170166
risk,0,8,1008,7,1.4000000000000001,15,False,-1,0,0,3.4150655269622803,1.0647262334823608,4.554515138206785e-35,4.5545240347704754e-35,4.5545240347704754e-35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4159156084060669,0.26518404483795166,0.7635939121246338,1.8181133270263672,1.8083206415176392
risk,0,8,1008,8,1.6,15,False,-1,0,0,3.5518269538879395,1.0647262334823608,1.6946425427931267e-18,1.6946425427931267e-18,1.6946425427931267e-18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.413743793964386,0.23126578330993652,0.6579387187957764,1.6217905282974243,1.6066416501998901
risk,0,8,1008,9,1.8,15,False,-1,0,0,3.6695775985717773,1.0647262334823608,1.754092341212446e-13,1.754092341212446e-13,1.754092341212446e-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4209827482700348,0.2234433889389038,0.584124743938446,1.5077866315841675,1.4865254163742065
risk,0,8,1008,10,2.0,15,False,-1,0,0,3.7799179553985596,1.0647262334823608,9.047679272455866e-12,9.047679272455866e-12,9.047679272455866e-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4402027726173401,0.22911572456359863,0.5391291379928589,1.465513825416565,1.4375797510147095
