method,seed,scenario,success_rate,collision_rate,mean_min_distance,mean_time_to_goal,mean_episode_reward,mean_reaction_time,mean_risk_rise_time,mean_min_distance_after_turn,source_csv
attention_full,0,random,0.99,0.01,1.495695766210556,6.9719999999999995,21.981588252601775,nan,nan,nan,results/attention_full_s0_random.csv
attention_full,0,random_hard,0.88,0.12,0.818092195391655,6.224000000000001,18.264950324955215,nan,nan,nan,results/attention_full_s0_random_hard.csv
attention_full,0,sudden,0.98,0.02,1.1244045144319534,6.928000000000001,21.616406913805278,0.20000006258487701,35.873470306396484,1.7236111164093018,results/attention_full_s0_sudden.csv
attention_full,1,random,1.0,0.0,1.6621603256464004,7.856,22.111983814961814,nan,nan,nan,results/attention_full_s1_random.csv
attention_full,1,random_hard,0.96,0.04,0.9553938886523247,7.438,20.630441114950976,nan,nan,nan,results/attention_full_s1_random_hard.csv
attention_full,1,sudden,0.99,0.01,1.4312644213438035,7.816,21.838790542209466,0.22200004756450653,36.63199996948242,2.356889247894287,results/attention_full_s1_sudden.csv
attention_full,2,random,1.0,0.0,1.5031489956378936,6.966,22.352153087059218,nan,nan,nan,results/attention_full_s2_random.csv
attention_full,2,random_hard,0.97,0.03,0.8160072404146195,6.692,21.198749622083465,nan,nan,nan,results/attention_full_s2_random_hard.csv
attention_full,2,sudden,0.99,0.01,1.0880309003591537,6.99,22.18366398249102,1.6999998092651367,34.790000915527344,1.6041027307510376,results/attention_full_s2_sudden.csv
risk_full_rbar,0,random,0.98,0.02,1.416625258848071,6.668000000000001,21.751064782925837,nan,nan,nan,results/risk_full_rbar_s0_random.csv
risk_full_rbar,0,random_hard,0.89,0.11,0.8047211399674415,6.060000000000001,18.60995640923401,nan,nan,nan,results/risk_full_rbar_s0_random_hard.csv
risk_full_rbar,0,sudden,0.99,0.01,1.024703271985054,6.714000000000001,21.97548100653463,10.6343412399292,34.76363754272461,1.4544956684112549,results/risk_full_rbar_s0_sudden.csv
risk_full_rbar,1,random,1.0,0.0,1.2929119247198104,6.75,22.216322195013426,nan,nan,nan,results/risk_full_rbar_s1_random.csv
risk_full_rbar,1,random_hard,0.96,0.04,0.8789209142327309,6.570000000000001,20.67633221776897,nan,nan,nan,results/risk_full_rbar_s1_random_hard.csv
risk_full_rbar,1,sudden,1.0,0.0,1.1276385390758514,6.814,22.199245599111475,11.74799919128418,37.0,1.566959261894226,results/risk_full_rbar_s1_sudden.csv
risk_full_rbar,2,random,1.0,0.0,1.4739327985048294,6.792000000000002,22.316876573412625,nan,nan,nan,results/risk_full_rbar_s2_random.csv
risk_full_rbar,2,random_hard,0.98,0.02,0.880547641813755,6.718000000000001,21.541627813941318,nan,nan,nan,results/risk_full_rbar_s2_random_hard.csv
risk_full_rbar,2,sudden,1.0,0.0,1.1074097234010696,6.876,22.46041223706729,17.913999557495117,37.0,1.5308815240859985,results/risk_full_rbar_s2_sudden.csv
