[2026-05-08 08:23:57] pre_ppo_priority_watcher_start interval=60
[2026-05-08 08:23:58] status={"complete":false,"completed_eval_count":0,"current_run":"environment_sanity","current_stage":"Stage P0","latest_checkpoint":"","mode":"running","no_go":false,"pending_eval_count":0,"updated_at":"2026-05-08 08:23:57","watcher_status":"sanity"}
[2026-05-08 08:24:58] status={"complete":false,"completed_eval_count":0,"current_run":"high_speed_wide_d2","current_stage":"training","latest_checkpoint":"","mode":"running","no_go":false,"pending_eval_count":0,"updated_at":"2026-05-08 08:24:20","watcher_status":"training"}
[2026-05-08 08:25:59] status={"complete":false,"completed_eval_count":0,"current_run":"high_speed_wide_d2","current_stage":"training","latest_checkpoint":"","mode":"running","no_go":false,"pending_eval_count":0,"updated_at":"2026-05-08 08:24:20","watcher_status":"training"}
[2026-05-08 08:27:00] status={"complete":false,"completed_eval_count":0,"current_run":"high_speed_wide_d2","current_stage":"training","latest_checkpoint":"","mode":"running","no_go":false,"pending_eval_count":0,"updated_at":"2026-05-08 08:24:20","watcher_status":"training"}
[2026-05-08 08:28:01] status={"complete":false,"completed_eval_count":0,"current_run":"high_speed_wide_d2","current_stage":"training","latest_checkpoint":"","mode":"running","no_go":false,"pending_eval_count":0,"updated_at":"2026-05-08 08:24:20","watcher_status":"training"}
[2026-05-08 08:29:02] status={"complete":false,"completed_eval_count":0,"current_run":"high_speed_wide_d2","current_stage":"training","latest_checkpoint":"","mode":"running","no_go":false,"pending_eval_count":0,"updated_at":"2026-05-08 08:24:20","watcher_status":"training"}
[2026-05-08 08:30:03] status={"complete":false,"completed_eval_count":0,"current_run":"high_speed_wide_d2","current_stage":"training","latest_checkpoint":"","mode":"running","no_go":false,"pending_eval_count":0,"updated_at":"2026-05-08 08:24:20","watcher_status":"training"}
[2026-05-08 08:31:03] status={"complete":false,"completed_eval_count":0,"current_run":"high_speed_wide_d2","current_stage":"training","latest_checkpoint":"","mode":"running","no_go":false,"pending_eval_count":0,"updated_at":"2026-05-08 08:24:20","watcher_status":"training"}
[2026-05-08 08:32:04] status={"complete":false,"completed_eval_count":1,"current_run":"high_speed_wide_d2","current_stage":"Stage P0","latest_checkpoint":"250000","mode":"running","no_go":false,"pending_eval_count":95,"updated_at":"2026-05-08 08:32:02","watcher_status":"evaluating"}
[2026-05-08 08:33:05] status={"complete":false,"completed_eval_count":8,"current_run":"high_speed_wide_d2","current_stage":"Stage P0","latest_checkpoint":"500000","mode":"running","no_go":false,"pending_eval_count":88,"updated_at":"2026-05-08 08:32:58","watcher_status":"evaluating"}
[2026-05-08 08:34:06] status={"complete":false,"completed_eval_count":16,"current_run":"high_speed_wide_d2","current_stage":"Stage P0","latest_checkpoint":"750000","mode":"running","no_go":false,"pending_eval_count":80,"updated_at":"2026-05-08 08:34:05","watcher_status":"evaluating"}
[2026-05-08 08:35:07] status={"complete":false,"completed_eval_count":23,"current_run":"high_speed_wide_d2","current_stage":"Stage P0","latest_checkpoint":"750000","mode":"running","no_go":false,"pending_eval_count":73,"updated_at":"2026-05-08 08:35:03","watcher_status":"evaluating"}
[2026-05-08 08:36:07] status={"complete":false,"completed_eval_count":0,"current_run":"high_speed_risk","current_stage":"training","latest_checkpoint":"","mode":"running","no_go":false,"pending_eval_count":0,"updated_at":"2026-05-08 08:35:12","watcher_status":"training"}
[2026-05-08 08:37:08] status={"complete":false,"completed_eval_count":0,"current_run":"high_speed_risk","current_stage":"training","latest_checkpoint":"","mode":"running","no_go":false,"pending_eval_count":0,"updated_at":"2026-05-08 08:35:12","watcher_status":"training"}
[2026-05-08 08:38:09] status={"complete":false,"completed_eval_count":0,"current_run":"high_speed_risk","current_stage":"training","latest_checkpoint":"","mode":"running","no_go":false,"pending_eval_count":0,"updated_at":"2026-05-08 08:35:12","watcher_status":"training"}
[2026-05-08 08:39:10] status={"complete":false,"completed_eval_count":0,"current_run":"high_speed_risk","current_stage":"training","latest_checkpoint":"","mode":"running","no_go":false,"pending_eval_count":0,"updated_at":"2026-05-08 08:35:12","watcher_status":"training"}
[2026-05-08 08:40:11] status={"complete":false,"completed_eval_count":0,"current_run":"high_speed_risk","current_stage":"training","latest_checkpoint":"","mode":"running","no_go":false,"pending_eval_count":0,"updated_at":"2026-05-08 08:35:12","watcher_status":"training"}
[2026-05-08 08:41:12] status={"complete":false,"completed_eval_count":0,"current_run":"high_speed_risk","current_stage":"training","latest_checkpoint":"","mode":"running","no_go":false,"pending_eval_count":0,"updated_at":"2026-05-08 08:35:12","watcher_status":"training"}
[2026-05-08 08:42:12] status={"complete":false,"completed_eval_count":0,"current_run":"high_speed_risk","current_stage":"training","latest_checkpoint":"","mode":"running","no_go":false,"pending_eval_count":0,"updated_at":"2026-05-08 08:35:12","watcher_status":"training"}
